title_clean,first_sentence
a dream that will not come true,a dreamed of a perfect day
candy,coatton candy 
love,love can be great or love can hurt
cats,i have a cat who's very lazy
little tree,little tree so free in the wind
basketball,basketball is the best sport
rh p,rich people don't understand poor people
bee,i see a bee
math,i do not like math
dogs,big dogs little dogs
friends,friends are always there for you
school days,first day
dogs,dogs are cool their not very smart
horse,horse stupid
crazy little boy,a crazy little boy name len
stars and damonds,the stars gloom like diamonds in the air
stork on my head,when i woke up one morning
dear daddy,dear daddy
enigma,my mind is an enigma
the evening sky,the evening sky crimson and velvet
my dog,is like a hound only weighs a pound
cinquain,fishing fun
tubs,i love tubs they keep me clean
my light,every night i fight with my light
only if,only if you could have one wish
sneaky cat,learching threw the door
sneaky cat,learching threw the door
clowns,funney puney big red noses that make funney noises
vents,vents are machines that pierce and cut
formulas,formulas are not math
hims are hims,who
like a ghost,the water is invisible
bob,hello my name is bob
summer trouble,birds were thirsty
lovers,i saw a man in a silver coat
friends always,i thought she would be a forever friend
snowboarding,going down the hill
lilly,our bad friend lilly she is very mean
my dad and thanksgiving,hello i am gabby
christmas,christmas is a time of joy
friends,we are friends till the end
me,i will always be different from you
my sister,i have a sister named hannah
my life,my life is a roller coster i have twist and turns 
halloween,''boo
watermelon,drippy sticky yummy treat
magnificent london,oh london oh london with enormous dangens
school,in the age when i was seven
field trip to hyper star,we go to hyper star with our school
the best mom in the whole world,dear mom
life,the world has lot to offer 
the wind,the wind rushes through my hair day and night
have you ever,have you ever had a dripping
bad day,when i woke up this morning
nature,the wind blowing in my face
eagles,screech
childhood,childhood is
fun in the sun,i always enjoy fun in the sun
why,why did you fall? when you stood so tall
globe,i have a globe that is round
the butterfly,butterfly
wish you were here,dear jasmine
grass,i am a blade of grass swaying in the wind
theres a mouse in my house,there's a mouse in my house
the water,water is blue
the farm,there once was a farm that i knew
my dog daisy,my dog daisy who i love
a basketball,its orange with black stripes and you can bounce
february,february is cold
puppys everywhere,roses are blue violets are too my dog is small
mark and lars,mark and lars went to a park
billy the tiger,there once was a tiger name billy
basketball,my favorite sport is basketball
eat brown bread,i diddle i die eat a brown bread
the day i died,when i died one day a angel was in my face i asked
i am smart and wonderful,i am smart and wonderful
birthday wishes,i wish for peace i wish for knowledge
big black dog,the big black dog swiftly slinks around
wind,wind you silently glide through the still air
the kid and the bee,the kid got stung by a bee he had lots of flees
my music,my music is dear for it touches my heart
fall leaves,swooshing down to the ground in different colors
a kid and a pizza,there once was a pizza and a kid
t e a y,talented educated and young
apple pie,as soft and cozy as a fuzzy bed
one morning,one morning when i awoke
all about me,i look like a cookie and have many dot
mommy,she`s there when i need her never late
gone is our hope,free from the night still running in fright
hopscotch,hopscotch can be many different things
little tree standing tall,i was walking home no later than three
hey,earthquake rumbles
sports,sports are what i love to do running
besties for life,were together ever where we go
the foolishness of mankind,the chirrupping of birds
bubbles,blow
sea,when the wind blows
blue,blue
me,i'm a little wacky
the bully,i love to be seen
moonwalking,i felt a little queasy
wings of gold,the dragon flies
football,my skills are like rod smith's
hi,hi
peter pan,peter pan he thinks he is a man
a mothers love,a mothers love a mothers love
the beach,walking down the antiquated-ancient stairs
red,red is the color of conners cheeks
who am i ,who am i ? i am 11years old
the pot,i was here but
a good poem,this is a good poem
pimple,what is that
my irish culture,listen
life is like a book,life is like a good book
war,so many get hurt
sound of madness,i created the sound of madness
the wind,the wind is breezing by
cheetah,i am a cheetah and runs really fast
hurry,the rock is so bright
feelings,if you're feeling sad or blue
going home,going home i see birds
spring,the snow is melting
my best features,i listen like a cat
great person,hear like a cat
frogs,frogs slimey
homework you stink,homework
that cat,oh my
food,i like food
the light,the light flickers like the wings of a moth
feel good,self esteem is my theme your on andnly
if only,if only i could fly like the sparrow
dark days,in the trenches
my dirtbike,my dirtbike is big biue
the motor cycle,a speeding fast horse with a mane shining bright
tennis,as the ball comes over the net i'm screaming
snake,the snake
christmas lights,christmas lights are so bright christmas
the new kid,i am the new kid at school
agony,when i die
school,its only at school
as i gaze in the mirror,i stand there with my eyes sqinted
nauseous,the things that make me nauseous
mrs harris,mrs
ode to pancakes,ode to pancakes oh
soccer,soccer is the best sport
i wish,i wish the world could live through peace
nothing,said i to the monkey
ode to hockey,hockey is a hard hitting sport
snow,when we are in school
an alliteration,ants exploring
little lion,little lion
the boy who turned into a nicer boy than he w,there once was a boy who came home from school
oranges,orange
my pony no phony,my pony no phony is clever
fishing,i love to fish it lots of fun
lakes lakes,lakes
curly hairy and white,curly tail
bed,moving springs like a trampoline
the day i kissed money,the day i kissed money
evan,there once was a boy named evan
cora,cora is my best friend
apples,apples apples in the tree how many do you see 1
writers block,ummmmmmmm
goodbye,when 10
bob,my cat is named bob
the eagle,this extensive bird
hello friend,hello friend
summer,hot days
bibble babble,bibble
secrets,i dare not say
what,yes
good night,heavy eyes
bird and me,my petite blue parakeet and just only two
butterflies,butterflies glide in the sky
my bad day,today i had a very bad day
only a dream,i flew across the land
my bed,when i walk up my stairs
my dog,my dog is a big loud dog
the tree,across the sea
the frog,there once was a frog
something,there once was a frog
homework each and every night,i give my student`s homework each and every night
my niece,my niece is like a chunky
love,love
my little sister,my little sister as never gotten her way
spring,spring time goes and comes
eruption,boom
whirlpool of love,love is like a wirlpool
rising,i'm rising
sunflowers,sunflowers
at this moment,at this moment you may find 
the purple rose,the other day i saw a purple rose
my dog,dark black that is a fact
a lying friendship,you frusterate me
ode to the ocean,a home to fish
butterfly,flying in the sky
feelings,feelings are what you express
dolphins,the most keen-hearing mammals there are
my sister,my sister is alana
love,love is a beautiful thing to waste
the moon,the moon is like the end of a spoon
lazy,i have a cat
crush,my crush
jake,my not so secret crush
too much junk,a stick
cows and birds,cows are white
the sun,the sun is my mother and cousin to the rest
the gift of gobbles,thanksgiving is a family day
mother,m is for mother's day
my family and i,my mom has brown hair and green eyes
watermelon sherbet,the sun is shining
sick,i`m always sick
school,school is not just about learning
my red pet bull,my bull is red
summer breeze,the way the wind blows
homework,homework is boring
thunder,thunder thunder boom boom
baseketball,baseketball
looking back,my friend and i where friends til the very end
yellow green purple blue,yellow
kayla,2 green earings
purple and blue,purple
sarah g,her perfect hazel eyes are very bright
time,from field trips to parties we had such a blast
the sky,the sky is blue and so are you
hockey,5 players 4 lines 3 periods 2 teams 1 game
